time,temperature_2m,cloudcover,windspeed_10m,precipitation_probability,energy_load_mw,hour,day,weekday,month,load_lag_1h,load_lag_3h,load_roll_mean_3h,load_roll_std_3h,load_roll_mean_6h,load_roll_std_6h
1970-01-01 00:28:40.587600,15.8,20.0,18.0,,43393.08,0,1,3,1,41262.19,48974.04,41517.60333333334,1761.7113699563101,41960.50666666667,4165.57679923281
1970-01-01 00:28:40.591200,15.5,72.0,19.4,,45577.25,0,1,3,1,43393.08,39897.54,43410.840000000004,2157.584821994254,43487.590000000004,3319.4476842752
1970-01-01 00:28:40.594800,16.2,100.0,21.1,,44358.32,0,1,3,1,45577.25,41262.19,44442.88333333333,1094.5377404335136,43910.40333333333,3225.0008640164197
1970-01-01 00:28:40.598400,17.0,66.0,23.2,,44176.6,0,1,3,1,44358.32,43393.08,44704.056666666664,761.6465634618863,43110.829999999994,2125.9206074357494
1970-01-01 00:28:40.602000,18.1,44.0,23.0,,36494.0,0,1,3,1,44176.6,45577.25,41676.306666666664,4488.928862226861,42543.573333333334,3290.1130076376794
1970-01-01 00:28:40.605600,18.9,64.0,25.5,,36627.61,0,1,3,1,36494.0,44358.32,39099.403333333335,4397.488760876298,41771.14333333333,4096.364444239142
1970-01-01 00:28:40.609200,19.4,89.0,26.7,,45475.55,0,1,3,1,36627.61,44176.6,39532.386666666665,5147.363957700424,42118.22166666667,4342.123404158
1970-01-01 00:28:40.612800,20.0,92.0,26.2,,44332.08,0,1,3,1,45475.55,36494.0,42145.08,4812.352575497767,41910.693333333336,4170.085417329801
1970-01-01 00:28:40.616400,20.5,55.0,26.8,,39843.4,0,1,3,1,44332.08,36627.61,43217.01,2977.0479059464187,41158.206666666665,4045.5770976396752
1970-01-01 00:28:40.620000,19.5,85.0,28.0,,48646.58,0,1,3,1,39843.4,45475.55,44274.02,4401.877184883731,41903.20333333334,5009.358979536869
1970-01-01 00:28:40.623600,20.5,80.0,27.2,,46622.49,0,1,3,1,48646.58,44332.08,45037.49,4610.657575454926,43591.285,4502.951356391718
1970-01-01 00:28:40.627200,20.6,80.0,26.8,,44190.09,0,1,3,1,46622.49,39843.4,46486.386666666665,2231.3603178404855,44851.698333333334,2956.917377522864
1970-01-01 00:28:40.630800,20.0,60.0,27.7,,42458.39,0,1,3,1,44190.09,48646.58,44423.656666666655,2091.852586425077,44348.83833333334,3083.4502326544352
1970-01-01 00:28:40.634400,19.9,99.0,25.1,,38029.91,0,1,3,1,42458.39,46622.49,41559.46333333333,3176.9492083024297,43298.47666666666,4021.127785622671
1970-01-01 00:28:40.638000,19.7,100.0,21.7,,42321.75,0,1,3,1,38029.91,44190.09,40936.683333333334,2518.2664733767733,43711.535,3710.527736857659
1970-01-01 00:28:40.641600,18.3,94.0,16.3,,43782.54,0,1,3,1,42321.75,42458.39,41378.06666666667,2990.165823902325,42900.861666666664,2847.711553780806
1970-01-01 00:28:40.645200,17.0,30.0,16.8,,35358.82,0,1,3,1,43782.54,38029.91,40487.70333333333,4501.395343805467,41023.583333333336,3533.6705243452916
1970-01-01 00:28:40.648800,15.5,9.0,17.2,,44118.12,0,1,3,1,35358.82,42321.75,41086.49333333334,4963.147675027765,41011.58833333333,3520.8710940414635
1970-01-01 00:28:40.652400,14.6,45.0,16.2,,40445.15,0,1,3,1,44118.12,43782.54,39974.03,4398.613379611835,40676.04833333334,3450.6451882940305
1970-01-01 00:28:40.656000,14.2,13.0,15.2,,40410.75,0,1,3,1,40445.15,35358.82,41658.00666666667,2130.590070762905,41072.855,3214.2919288624157
1970-01-01 00:28:40.659600,13.4,9.0,14.6,,43553.62,0,1,3,1,40410.75,44118.12,41469.84,1804.6883820483124,41278.166666666664,3346.6371778588027
1970-01-01 00:28:40.663200,13.6,0.0,15.4,,46635.08,0,1,3,1,43553.62,40445.15,43533.15,3112.2154894704813,41753.590000000004,3926.0252824962877
1970-01-01 00:28:40.666800,12.8,0.0,13.7,,40575.94,0,1,3,1,46635.08,40410.75,43588.21333333334,3029.7181236764122,42623.11,2570.0489715645554
1970-01-01 00:28:40.670400,12.1,0.0,11.6,,43440.64,0,1,3,1,40575.94,43553.62,43550.55333333334,3031.0650092885376,42510.19666666667,2505.296886875226
1970-01-01 00:28:40.674000,11.7,0.0,11.1,,44824.92,0,1,3,1,43440.64,46635.08,42947.166666666664,2167.047463285788,43240.15833333333,2419.877047392425
1970-01-01 00:28:40.677600,12.2,0.0,12.6,,42790.43,0,1,3,1,44824.92,40575.94,43685.329999999994,1039.0824255563011,43636.77166666667,2026.4212722177674
1970-01-01 00:28:40.681200,13.6,0.0,12.6,,39955.01,0,1,3,1,42790.43,43440.64,42523.45333333334,2445.90745070892,43037.003333333334,2526.738542506265
1970-01-01 00:28:40.684800,15.0,0.0,12.6,,44437.28,0,1,3,1,39955.01,44824.92,42394.24,2267.247444656204,42670.70333333333,2006.5693715859134
1970-01-01 00:28:40.688400,16.7,0.0,12.2,,40012.37,0,1,3,1,44437.28,42790.43,41468.22,2571.4413283410086,42576.775,2133.4184171207526
